id,input,output
4O8E_U1GBHY2PTEJ,"MAF2GZ95L5OWKAIT,_7MLE7V6WCM641EQ,E974GOJ74BD9XWLN,JL93UNPJZLB4OJET","WA_Y_0FY63CZE6ZG,LYNSTM9HPUTUJZVF,6S8XHJVKXXRFALU9,LA115UKLHFNPU72M"
FFJO6CR73MA_VAHT,"7_6IG7Q45VE9DW5Q,B3X190CKGMUD_CD_,6S8XHJVKXXRFALU9","C1G4G1373ZSZN7K3,AMHKJLS5Y6FI3GV0"
3ES63CDYERO8CR80,"BLV6K46U7QL6EEBA,_7MLE7V6WCM641EQ,A0LR3T2WMMRDQ2H_","6S8XHJVKXXRFALU9,MAF2GZ95L5OWKAIT,FP02SXH7YZJK8T5W,9MJLJNWT8IXPCRJE"
J_JDM3U72ZTX3Z36,"FP02SXH7YZJK8T5W,D6O0AWY5L1IP8L8R,EKS4MDH6B4WPX4BN","1LU0JLJO90E682UQ,C1G4G1373ZSZN7K3,MAF2GZ95L5OWKAIT,VVMHUZJGOE2ITC7C,X9XR_OAM0WWXGDGA"
VV_61J9PD8_P9UUL,"M9_KQ_NI3FLX592O,EIUXD3DZRLYC9PW4,D8U2LWQF9RN0SLNC","CF7J16I3A__84LR5,0PZLTLCVA7CKPLNF,M9_KQ_NI3FLX592O,PUUO16UJ33IBCUFN,AMZSD3KCJEMN_18O"
1BZNGBJ9FHG8Y7EL,"EKS4MDH6B4WPX4BN,MAF2GZ95L5OWKAIT,9MJLJNWT8IXPCRJE,U_5DRA8109OUEBB3,LA115UKLHFNPU72M","CJ895IB7ON3FIXBB,MAF2GZ95L5OWKAIT,A0LR3T2WMMRDQ2H_,X9XR_OAM0WWXGDGA,B3X190CKGMUD_CD_"
6MI9CPFRLHGCH6WS,AMZSD3KCJEMN_18O,"B3YGI0YTWA2HSDZN,NZ7SSS1M3HQYMFZP,VSP054_9UH3ZLKMY"
VJ_N8AKHU_EWJF8P,"PUUO16UJ33IBCUFN,D6O0AWY5L1IP8L8R,JL93UNPJZLB4OJET,NZ7SSS1M3HQYMFZP","AMHKJLS5Y6FI3GV0,GRJAI_0E9ZOE_1O7,9OD_Y6P836D0JY23,X9XR_OAM0WWXGDGA,9MJLJNWT8IXPCRJE"
SO3BADHOA_YZPMXN,"VMETNPOT2AW9SN20,JL93UNPJZLB4OJET,PUUO16UJ33IBCUFN,GRJAI_0E9ZOE_1O7","F3RW4I_UPTLUOCVB,EIUXD3DZRLYC9PW4,C1G4G1373ZSZN7K3,9OAZ5CT_2M69WB24,S_L00B2FX37Y1XRI"
YZ86CLYOGCC08ZG4,"NZ7SSS1M3HQYMFZP,B3X190CKGMUD_CD_,D6O0AWY5L1IP8L8R",AMHKJLS5Y6FI3GV0
6AZEH1PUA2CM8K5N,"VVMHUZJGOE2ITC7C,CQ0MT5E0WL2586Y2,PPL2FZVIXTZZPH9R,ERMAAIW1KT7M0V3X,VMETNPOT2AW9SN20",PPL2FZVIXTZZPH9R
KSDOELMJCPME_S5G,D6O0AWY5L1IP8L8R,S_L00B2FX37Y1XRI
QMNVUSG0_F3E1MPS,"PUUO16UJ33IBCUFN,CJ895IB7ON3FIXBB,VMETNPOT2AW9SN20,PPL2FZVIXTZZPH9R,9OD_Y6P836D0JY23","51186OMAOTN3BEYO,B3X190CKGMUD_CD_"
Z1NWIWTB1K0VR1VS,"VMETNPOT2AW9SN20,B3X190CKGMUD_CD_,9OAZ5CT_2M69WB24","6S8XHJVKXXRFALU9,JL93UNPJZLB4OJET"
D6UE5U5IHVM74BS0,"AMHKJLS5Y6FI3GV0,JYHGB2MXG1U16R43","CQ0MT5E0WL2586Y2,D8U2LWQF9RN0SLNC,F3RW4I_UPTLUOCVB,NZ7SSS1M3HQYMFZP,EIUXD3DZRLYC9PW4"
36BKE4QRAERASA4Q,"CJ895IB7ON3FIXBB,FP02SXH7YZJK8T5W,AMHKJLS5Y6FI3GV0","LA115UKLHFNPU72M,51186OMAOTN3BEYO,F3RW4I_UPTLUOCVB,CQ0MT5E0WL2586Y2,AMHKJLS5Y6FI3GV0"
FCN1EKTQQHCW99ZD,"EKS4MDH6B4WPX4BN,9OAZ5CT_2M69WB24,C1G4G1373ZSZN7K3",9OAZ5CT_2M69WB24
XOSL09JYSK87A41C,LYNSTM9HPUTUJZVF,"B3YGI0YTWA2HSDZN,GRJAI_0E9ZOE_1O7,C1G4G1373ZSZN7K3,EUCFI66IQ5X2VOSM,VVMHUZJGOE2ITC7C"
SRJUABAWMBZ6T6QB,"X9XR_OAM0WWXGDGA,E974GOJ74BD9XWLN","QMVLTR14MJI7DMBL,GRJAI_0E9ZOE_1O7"
O7MN3YY5WZ6W0_64,"7_6IG7Q45VE9DW5Q,9OD_Y6P836D0JY23,EIUXD3DZRLYC9PW4,AMZSD3KCJEMN_18O","S_L00B2FX37Y1XRI,PUUO16UJ33IBCUFN,LA115UKLHFNPU72M,7_6IG7Q45VE9DW5Q"
